,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,621122,Borussia Dortmund,Werder Bremen,08/24/2012 19:30:00,,,,,2-1,0,0,1.3,5.5,9.0,1.33,5.25,9.25,1.33,5.25,9.25,1.37,4.3,7.2,1.33,5.0,9.0,29,23.3,10,227.68,7.85,32,22.5,14,79.2,2.48,80,80,80,80,73,74,74,75
1,621134,Greuther Fuerth,Bayern,08/25/2012 14:30:00,,,,,0-3,0,0,8.5,4.75,1.36,9.25,4.6,1.34,9.25,4.6,1.34,6.5,3.9,1.45,8.0,4.5,1.4,37,23.8,19,34.08,0.921,28,24.5,13,407.3,14.55,72,70,68,70,83,84,82,83
2,621135,Borussia M.Gladbach,Hoffenheim,08/25/2012 14:30:00,,,,,2-1,0,0,1.91,3.4,4.0,2.0,3.3,4.0,2.0,3.3,4.0,1.9,3.3,3.7,1.91,3.4,4.0,27,23.7,14,81.0,3.0,42,22.8,24,85.03,2.02,72,75,75,75,74,74,71,74
3,621133,Eintracht Frankfurt,Leverkusen,08/25/2012 17:30:00,,,,,2-1,0,0,2.8,3.4,2.4,3.0,3.6,2.3,3.0,3.6,2.3,2.65,3.3,2.4,2.88,3.3,2.4,31,24.4,13,51.2,1.65,32,22.8,11,115.9,3.62,72,74,73,74,79,74,75,77
4,621125,Hannover,Schalke,08/26/2012 16:30:00,,,,,2-2,0,0,2.88,3.4,2.38,2.8,3.4,2.4,2.8,3.4,2.4,2.55,3.25,2.5,2.8,3.4,2.4,32,24.9,19,88.0,2.75,28,24.3,17,171.0,6.11,78,74,73,75,83,78,75,78
5,621146,Mainz,Greuther Fuerth,08/31/2012 19:30:00,11.0,1.0,18.0,0.0,0-1,1,1,1.8,3.5,4.5,1.87,3.5,4.33,1.87,3.5,4.33,1.8,3.4,4.0,1.83,3.5,4.33,31,25.5,18,50.95,1.64,37,23.8,19,34.08,0.921,74,73,73,73,72,70,68,70
6,621147,Werder Bremen,Hamburg,09/01/2012 14:30:00,14.0,0.0,15.0,0.0,2-0,1,1,1.73,3.75,4.5,1.78,3.75,4.5,1.78,3.75,4.5,1.75,3.4,4.3,1.8,3.6,4.33,32,22.5,14,79.2,2.48,28,24.4,17,110.6,3.95,73,74,74,75,74,75,73,75
7,621150,Nuernberg,Borussia Dortmund,09/01/2012 14:30:00,6.0,3.0,4.0,3.0,1-1,1,1,6.0,4.0,1.55,6.0,4.0,1.53,6.0,4.0,1.53,5.4,3.7,1.55,6.0,4.0,1.53,30,23.4,13,42.65,1.42,29,23.3,10,227.68,7.85,71,72,73,73,80,80,80,80
8,621154,Leverkusen,Freiburg,09/01/2012 14:30:00,12.0,0.0,10.0,1.0,1-1,1,1,1.57,4.0,5.5,1.62,3.9,5.0,1.62,3.9,5.0,1.55,3.7,5.4,1.57,3.75,6.0,32,22.8,11,115.9,3.62,31,23.1,14,45.45,1.47,79,74,75,77,71,74,72,73
9,621149,Fortuna Duesseldorf,Borussia M.Gladbach,09/01/2012 17:30:00,2.0,3.0,3.0,3.0,0-0,1,1,2.9,3.3,2.4,3.0,3.3,2.3,3.0,3.3,2.3,2.9,3.1,2.3,3.0,3.4,2.3,34,24.9,19,31.75,0.934,27,23.7,14,81.0,3.0,71,70,71,71,72,75,75,75
