,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
0,334968,Athletic Club,Espanyol,08/30/2009 16:00:00,0.0,0.0,0,0.0,1-0,0,0,2.1,3.3,3.5,2.2,3.25,2.95,2.2,3.25,3.2,2.15,3.25,3.25,2.2,3.2,2.8,74,76,76,75,77,79,71,75,36,24.2,2,76.35,2.12,34,23.8,12,73.7,2.17
1,334971,Zaragoza,Tenerife,08/29/2009 21:00:00,,,,,1-0,0,0,1.91,3.4,4.2,1.85,3.35,3.8,1.85,3.4,4.1,1.9,3.3,3.9,1.8,3.2,4.0,75,74,74,74,73,73,71,72,37,25.5,18,87.5,2.36,24,26.0,4,21.6,0.9
2,334972,Valencia,Sevilla,08/30/2009 18:00:00,,,,,2-0,0,0,2.25,3.3,3.2,2.25,3.2,2.9,2.2,3.2,3.2,2.15,3.25,3.25,2.2,3.2,2.8,86,79,79,80,84,78,77,79,34,24.6,10,213.8,6.29,36,24.5,18,213.8,5.94
3,334973,Almeria,Valladolid,08/30/2009 20:00:00,,,,,0-0,0,0,2.1,3.3,3.5,2.15,3.25,3.05,2.1,3.3,3.3,1.9,3.3,3.9,2.1,3.2,3.0,76,74,70,74,75,75,74,74,25,25.4,13,64.4,2.58,32,24.5,7,49.9,1.56
4,334974,Barcelona,Sporting Gijon,08/31/2009 21:00:00,,,,,3-0,0,0,1.17,8.0,13.0,1.12,7.5,13.0,1.15,7.0,15.0,1.17,6.0,15.0,1.14,6.0,13.0,88,86,84,84,75,73,70,73,31,24.1,15,425.5,13.73,35,24.4,3,42.7,1.22
5,334978,Espanyol,Real Madrid,09/12/2009 19:00:00,14.0,0.0,6,3.0,0-3,1,1,6.0,3.8,1.57,6.5,3.55,1.5,5.5,3.7,1.6,5.4,3.7,1.6,5.0,3.5,1.57,77,79,71,75,83,85,82,83,34,23.8,12,73.7,2.17,31,24.5,16,489.4,15.79
6,334979,Xerez,Athletic Club,09/13/2009 20:00:00,16.0,0.0,7,3.0,0-1,1,1,2.75,3.2,2.63,2.65,3.2,2.45,2.6,3.25,2.6,2.6,3.2,2.6,2.6,3.2,2.38,73,71,70,72,74,76,76,75,26,26.5,8,32.5,1.25,36,24.2,2,76.35,2.12
7,334981,Villarreal,Mallorca,09/13/2009 16:00:00,10.0,1.0,4,3.0,1-1,1,1,1.57,3.8,6.0,1.5,3.7,6.0,1.53,3.75,6.5,1.55,3.7,6.0,1.5,3.5,6.0,81,80,77,78,76,73,73,73,31,25.4,13,166.7,5.38,27,25.7,11,51.1,1.89
8,334982,Tenerife,Osasuna,09/13/2009 16:00:00,20.0,0.0,9,1.0,2-1,1,1,2.38,3.25,3.0,2.25,3.2,2.9,2.45,3.25,2.8,2.3,3.2,3.0,2.1,3.2,3.0,73,73,71,72,75,74,73,74,24,26.0,4,21.6,0.9,27,26.4,7,54.8,2.03
9,334983,Sevilla,Zaragoza,09/12/2009 21:00:00,15.0,0.0,8,3.0,4-1,1,1,1.57,3.8,6.0,1.45,3.9,6.5,1.53,3.75,6.5,1.45,4.0,7.0,1.57,3.5,5.0,84,78,77,79,75,74,74,74,36,24.5,18,213.8,5.94,37,25.5,18,87.5,2.36
10,334984,Valladolid,Valencia,09/13/2009 18:00:00,12.0,1.0,5,3.0,2-4,1,1,3.4,3.4,2.1,3.45,3.2,2.0,3.4,3.25,2.1,3.6,3.3,2.0,3.0,3.2,2.1,75,75,74,74,86,79,79,80,32,24.5,7,49.9,1.56,34,24.6,10,213.8,6.29
11,334986,Getafe,Barcelona,09/12/2009 17:00:00,1.0,3.0,2,3.0,0-2,1,1,6.5,4.2,1.5,6.2,4.0,1.45,6.75,4.0,1.47,6.0,3.7,1.55,7.0,4.0,1.36,78,75,76,75,88,86,84,84,29,25.4,9,73.5,2.53,31,24.1,15,425.5,13.73
12,334988,Atletico,Racing Santander,09/12/2009 17:00:00,18.0,0.0,17,0.0,1-1,1,1,1.44,4.33,7.0,1.4,4.0,7.25,1.45,4.0,7.5,1.4,4.5,7.0,1.44,3.75,6.0,85,81,76,79,77,75,74,75,37,23.1,16,210.4,5.69,34,24.4,9,78.7,2.31
13,334991,Real Madrid,Xerez,09/20/2009 18:00:00,2.0,6.0,19,0.0,5-0,2,2,1.13,8.0,21.0,1.12,7.5,13.0,1.12,8.0,16.0,1.12,7.5,20.0,1.1,7.0,15.0,83,85,82,83,73,71,70,72,31,24.5,16,489.4,15.79,26,26.5,8,32.5,1.25
14,334994,Mallorca,Tenerife,09/19/2009 17:00:00,5.0,4.0,12,3.0,4-0,2,2,2.0,3.4,3.6,1.9,3.25,3.75,1.95,3.35,3.75,1.85,3.4,4.0,1.91,3.2,3.5,76,73,73,73,73,73,71,72,27,25.7,11,51.1,1.89,24,26.0,4,21.6,0.9
15,334996,Osasuna,Sevilla,09/19/2009 19:00:00,14.0,1.0,8,3.0,0-2,2,2,3.25,3.25,2.25,3.15,3.25,2.1,3.2,3.2,2.2,3.0,3.2,2.3,3.0,3.2,2.1,75,74,73,74,84,78,77,79,27,26.4,7,54.8,2.03,36,24.5,18,213.8,5.94
16,334999,Valencia,Sporting Gijon,09/20/2009 20:00:00,3.0,6.0,11,3.0,2-2,2,2,1.29,5.25,10.0,1.25,5.5,8.5,1.3,5.0,9.0,1.27,5.0,10.0,1.3,4.33,8.0,86,79,79,80,75,73,70,73,34,24.6,10,213.8,6.29,35,24.4,3,42.7,1.22
17,335000,Almeria,Getafe,09/20/2009 16:00:00,15.0,1.0,7,3.0,1-0,2,2,2.5,3.25,2.8,2.35,3.2,2.75,2.5,3.2,2.75,2.4,3.2,2.85,2.38,3.2,2.6,76,74,70,74,78,75,76,75,25,25.4,13,64.4,2.58,29,25.4,9,73.5,2.53
18,335002,Barcelona,Atletico,09/19/2009 21:00:00,1.0,6.0,17,1.0,5-2,2,2,1.33,5.0,8.5,1.35,4.5,7.25,1.33,4.75,8.5,1.35,4.7,7.8,1.33,4.33,7.0,88,86,84,84,85,81,76,79,31,24.1,15,425.5,13.73,37,23.1,16,210.4,5.69
19,335003,Malaga,Racing Santander,09/19/2009 19:00:00,6.0,3.0,16,1.0,1-2,2,2,2.05,3.3,3.6,2.05,3.25,3.25,2.0,3.3,3.6,2.0,3.3,3.6,1.8,3.3,3.75,75,76,73,74,77,75,74,75,37,24.4,13,60.8,1.64,34,24.4,9,78.7,2.31
20,335005,Xerez,Deportivo,09/23/2009 19:00:00,20.0,0.0,13,3.0,0-3,3,3,2.88,3.25,2.45,2.8,3.3,2.25,2.75,3.25,2.45,2.65,3.3,2.5,2.8,3.4,2.38,73,71,70,72,76,76,78,76,26,26.5,8,32.5,1.25,31,25.0,8,62.5,2.02
21,335009,Sevilla,Mallorca,09/22/2009 19:00:00,6.0,6.0,4,7.0,2-0,3,3,1.44,4.2,7.5,1.38,4.3,6.8,1.45,4.0,7.0,1.45,4.0,7.0,1.44,4.0,8.0,84,78,77,79,76,73,73,73,36,24.5,18,213.8,5.94,27,25.7,11,51.1,1.89
22,335011,Valladolid,Osasuna,09/23/2009 19:00:00,10.0,4.0,18,1.0,1-2,3,3,2.15,3.3,3.4,2.05,3.3,3.2,2.1,3.25,3.4,2.0,3.3,3.6,2.1,3.2,3.6,75,75,74,74,75,74,73,74,32,24.5,7,49.9,1.56,27,26.4,7,54.8,2.03
