,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,523015,Granada,Real Betis,08/27/2011 21:00:00,0,0,0,0,0-1,0,0,2.3,3.4,3.0,2.35,3.4,2.85,2.4,3.3,2.8,2.3,3.2,2.8,2.4,3.3,2.88,28,26.5,13,51.7,1.85,33,25.2,6,46.7,1.42,71,74,72,72,74,74,70,73
1,523011,Atletico,Osasuna,08/28/2011 11:00:00,0,0,0,0,0-0,0,0,1.53,3.8,6.5,1.55,3.8,6.25,1.55,3.75,6.0,1.5,3.8,5.7,1.57,3.75,6.0,33,23.8,15,202.1,6.12,32,26.1,8,40.35,1.26,81,80,78,78,74,74,70,73
2,523066,Real Sociedad,Barcelona,09/10/2011 17:00:00,5,3,2,3,2-2,1,1,15.0,7.0,1.17,16.0,7.25,1.15,13.0,6.5,1.18,11.0,5.3,1.22,15.0,7.0,1.17,25,24.4,8,70.0,2.8,35,23.9,11,621.5,17.76,73,72,73,73,90,88,85,86
3,523067,Villarreal,Sevilla,09/10/2011 17:00:00,19,0,6,3,2-2,1,1,2.1,3.4,3.4,2.2,3.4,3.3,2.1,3.4,3.25,2.0,3.3,3.3,2.1,3.4,3.4,34,24.4,12,150.15,4.42,32,24.4,14,145.5,4.55,73,79,74,78,79,79,76,77
4,523069,Real Betis,Mallorca,09/11/2011 11:00:00,3,3,12,0,1-0,1,1,1.91,3.4,4.0,1.85,3.4,4.25,1.95,3.3,3.8,1.95,3.3,3.5,1.91,3.4,4.0,33,25.2,6,46.7,1.42,31,23.9,13,61.1,1.97,74,74,70,73,70,72,73,73
5,523071,Rayo Vallecano,Zaragoza,09/11/2011 17:00:00,11,1,20,0,0-0,1,1,2.2,3.2,3.4,2.15,3.3,3.3,2.2,3.25,3.2,2.1,3.3,3.1,2.25,3.3,3.2,34,25.2,6,34.0,1.0,31,25.5,16,72.5,2.34,72,71,69,71,76,73,70,72
6,523086,Osasuna,Sevilla,09/20/2011 19:00:00,14,4,4,7,0-0,3,3,2.63,3.3,2.63,2.6,3.3,2.6,2.6,3.25,2.6,2.55,3.2,2.55,2.6,3.3,2.62,32,26.1,8,40.35,1.26,32,24.4,14,145.5,4.55,74,74,70,73,79,79,76,77
7,523084,Racing Santander,Real Madrid,09/21/2011 19:00:00,12,4,5,6,0-0,3,3,13.0,6.5,1.2,12.0,6.0,1.22,11.0,6.0,1.22,11.0,5.3,1.22,11.0,6.5,1.22,34,23.6,9,43.6,1.28,32,23.7,16,525.2,16.41,71,72,71,71,86,86,83,84
8,523089,Espanyol,Getafe,09/22/2011 19:00:00,15,3,17,1,1-0,3,3,2.1,3.25,3.5,2.05,3.3,3.8,2.1,3.25,3.4,2.0,3.3,3.3,2.2,3.3,3.3,34,23.4,16,74.6,2.19,31,25.9,6,79.5,2.56,76,75,75,75,73,73,73,74
9,523093,Athletic Club,Villarreal,09/24/2011 17:00:00,19,1,13,4,1-1,4,4,2.2,3.25,3.3,2.15,3.3,3.3,2.2,3.2,3.2,2.3,3.3,2.75,2.25,3.3,3.1,30,24.2,2,114.7,3.82,34,24.4,12,150.15,4.42,79,73,78,76,73,79,74,78
