,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
0,317783,Man Utd,Birmingham,08/16/2009 13:30:00,,,,,1-0,0,0,0,1.2,6,17,1.2,5.5,12,1.2,6,15,1.2,5.7,12,1.17,5.5,86,81,84,82,73,75,71,74,33,25,22,362.95,11,36,25.5,18,63.5,1.76
1,317786,Tottenham,Liverpool,08/16/2009 16:00:00,,,,,2-1,0,0,0,3.2,3.25,2.3,3.25,3.15,2.1,3.1,3.2,2.25,3.1,3.1,2.3,3,3.2,81,78,78,79,88,82,81,82,41,23.3,20,249.2,6.08,30,24.4,24,336.6,11.22
2,317787,Aston Villa,Wigan,08/15/2009 15:00:00,,,,,0-2,0,0,0,1.67,3.6,5.5,1.65,3.4,5,1.67,3.5,5.25,1.7,3.5,4.9,1.67,3.3,82,79,76,79,74,74,74,74,31,25.5,13,160.4,5.17,35,25.4,27,73.9,2.11
3,317788,Everton,Arsenal,08/15/2009 17:30:00,,,,,1-6,0,0,0,3.2,3.25,2.3,2.95,3.15,2.25,3,3.25,2.3,3.1,3.1,2.3,2.88,3,80,77,79,79,85,82,82,81,42,23.1,23,221.55,5.28,45,21.7,31,281,6.24
4,317789,Wolves,West Ham,08/15/2009 15:00:00,,,,,0-2,0,0,0,2.63,3.3,2.7,2.55,3.15,2.55,2.5,3.2,2.75,2.55,3.3,2.55,2.38,3.2,75,72,69,72,76,76,75,76,37,24.1,19,59.7,1.61,35,23.8,20,118.3,3.38
5,317790,Blackburn,Man City,08/15/2009 15:00:00,,,,,0-2,0,0,0,3.6,3.25,2.1,3.4,3.15,2,3.4,3.25,2.1,3.2,3.2,2.2,3,3.2,75,75,75,75,84,80,80,81,35,25.3,29,90.3,2.58,40,24.1,24,314.9,7.87
6,317791,Bolton,Sunderland,08/15/2009 15:00:00,,,,,0-1,0,0,0,2.25,3.25,3.25,2.15,3.15,3.15,2.25,3.25,3.1,2.2,3.2,3.2,2.1,3.2,77,75,73,75,78,77,74,75,32,25.3,18,85.33,2.67,38,24.5,26,131.7,3.47
7,317792,Portsmouth,Fulham,08/15/2009 15:00:00,,,,,0-1,0,0,0,2.63,3.2,2.75,2.3,3.15,2.85,2.6,3.25,2.6,2.5,3.2,2.7,2.38,3.2,75,74,74,75,76,76,77,76,45,25.4,29,99.85,2.22,42,25.3,28,92.8,2.21
8,317793,Stoke,Burnley,08/15/2009 15:00:00,,,,,2-0,0,0,0,1.91,3.3,4.33,1.85,3.2,4,1.9,3.3,4,1.9,3.3,3.9,1.91,3.2,76,72,75,73,75,72,70,72,37,25.9,18,76.8,2.08,33,25,20,38.45,1.17
9,317794,Chelsea,Hull,08/15/2009 12:45:00,,,,,2-1,0,0,0,1.17,6.5,21,1.17,6,13,1.2,6,15,1.2,5.5,14,1.17,5.5,85,84,84,83,70,72,73,73,33,25.5,24,443.9,13.45,37,26,23,75.65,2.04
10,317795,Arsenal,Bolton,01/20/2010 19:45:00,3,45,18,18,4-2,22,19,0,1.22,5.5,17,1.2,5.5,15,1.2,6,13,1.2,5.7,13,1.2,5,85,82,82,81,77,75,73,75,45,21.7,31,281,6.24,32,25.3,18,85.33,2.67
11,317796,Sunderland,Chelsea,08/18/2009 19:45:00,10,3,6,3,1-3,1,1,0,6.5,4,1.53,6.5,3.85,1.45,7,3.75,1.5,6.7,3.8,1.5,6.5,3.6,78,77,74,75,85,84,84,83,38,24.5,26,131.7,3.47,33,25.5,24,443.9,13.45
12,317797,West Ham,Aston Villa,11/04/2009 18:45:00,19,7,7,18,2-1,10,10,1,2.75,3.3,2.63,2.75,3.2,2.45,2.75,3.2,2.5,2.7,3.2,2.5,2.88,3.3,76,76,75,76,82,79,76,79,35,23.8,20,118.3,3.38,31,25.5,13,160.4,5.17
13,317798,Fulham,Blackburn,11/25/2009 19:00:00,11,15,14,13,3-0,12,12,0,2.1,3.3,3.6,2.1,3.2,3.4,2.1,3.25,3.4,2.2,3.2,3.2,2.1,3.3,76,76,77,76,75,75,75,75,42,25.3,28,92.8,2.21,35,25.3,29,90.3,2.58
14,317799,Birmingham,Portsmouth,08/19/2009 19:45:00,13,0,20,-9,1-0,1,1,0,2,3.3,4,1.9,3.25,3.75,2,3.3,3.6,2.15,3.25,3.25,2.1,3.3,73,75,71,74,75,74,74,75,36,25.5,18,63.5,1.76,45,25.4,29,99.85,2.22
