,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,410989,Blackburn,Everton,08/14/2010 15:00:00,,,,,1-0,0,0,0,2.88,3.25,2.5,2.75,3.25,2.45,2.9,3.2,2.4,2.55,3.2,2.5,2.8,3.3,37,25.1,29,95.1,2.57,32,23.9,21,178.53,5.58,75,75,75,75,80,79,78,78
1,410991,Bolton,Fulham,08/14/2010 15:00:00,,,,,0-0,0,0,0,2.2,3.3,3.4,2.15,3.25,3.25,2.2,3.25,3.2,2.2,3.2,3,2.25,3.3,34,25.4,18,93.4,2.75,34,27.5,27,111.95,3.29,76,76,75,75,79,76,77,77
2,410995,Sunderland,Birmingham,08/14/2010 15:00:00,,,,,2-2,0,0,0,2.1,3.3,3.6,2.15,3.2,3.3,2.15,3.25,3.3,2.1,3.2,3.2,2.1,3.3,39,23.7,20,137.33,3.52,34,25.8,18,102.9,3.03,77,74,75,75,77,77,76,76
3,410996,Tottenham,Man City,08/14/2010 12:45:00,0,0,0,0,0-0,0,0,0,2.4,3.3,3,2.35,3.3,2.85,2.35,3.3,2.85,2.4,3.2,2.7,2.3,3.3,38,24.7,21,296,7.79,45,23.4,27,382.53,8.5,80,81,79,80,84,81,80,82
4,410997,Wolves,Stoke,08/14/2010 15:00:00,,,,,2-1,0,0,0,2.3,3.25,3.2,2.25,3.15,3.1,2.3,3.25,3,2.3,3.2,2.8,2.25,3.3,42,23.7,23,76.8,1.83,33,27,20,96.4,2.92,76,72,73,73,76,73,75,74
5,411016,Arsenal,Blackpool,08/21/2010 15:00:00,9,1,2,3,6-0,1,1,1,1.17,7,19,1.16,6.5,15.5,1.18,6.25,15,1.17,5.8,13,1.17,7,34,23.4,27,304.38,8.95,45,24.2,23,38.1,0.886,84,84,80,81,70,70,69,69
6,411017,West Ham,Bolton,08/21/2010 15:00:00,18,0,11,1,1-3,1,1,0,2.25,3.3,3.25,2.15,3.25,3.25,2.15,3.25,3.25,2.2,3.3,2.9,2.2,3.25,39,25.1,24,158.95,4.08,34,25.4,18,93.4,2.75,74,76,74,75,76,76,75,75
7,411018,Everton,Wolves,08/21/2010 15:00:00,16,0,5,3,1-1,1,1,0,1.5,4,7,1.45,4,7,1.5,3.75,7,1.5,3.8,5.7,1.53,3.75,32,23.9,21,178.53,5.58,42,23.7,23,76.8,1.83,80,79,78,78,76,72,73,73
8,411021,Fulham,Man Utd,08/22/2010 16:00:00,12,1,4,3,2-2,1,1,0,6,4,1.57,6.25,3.8,1.53,6,3.75,1.55,5.4,3.7,1.55,5.5,3.75,34,27.5,27,111.95,3.29,43,24.1,29,384.15,8.93,79,76,77,77,85,82,82,82
9,411023,West Brom,Sunderland,08/21/2010 15:00:00,20,0,8,1,1-0,1,1,0,2.5,3.25,2.88,2.45,3.2,2.75,2.45,3.2,2.8,2.4,3.2,2.7,2.5,3.2,37,24.3,24,85.03,2.3,39,23.7,20,137.33,3.52,74,68,70,73,77,74,75,75
10,411024,Stoke,Tottenham,08/21/2010 15:00:00,15,0,14,1,1-2,1,1,0,3.4,3.3,2.2,3.3,3.2,2.15,3.4,3.25,2.1,3.2,3.2,2.1,3.6,3.25,33,27,20,96.4,2.92,38,24.7,21,296,7.79,76,73,75,74,80,81,79,80
11,411025,Wigan,Chelsea,08/21/2010 17:15:00,19,0,1,3,0-6,1,1,0,15,6,1.22,12.5,5.5,1.22,12,5.25,1.25,9,4.9,1.28,12,5.5,35,24,24,72.1,2.06,33,24.5,22,446.15,13.52,71,74,72,73,85,84,83,83
12,411026,Man Utd,West Ham,08/28/2010 17:30:00,3,4,19,0,3-0,2,2,0,1.14,8,19,1.12,7.5,18.5,1.15,7,15,1.17,5.8,13,1.17,7,43,24.1,29,384.15,8.93,39,25.1,24,158.95,4.08,85,82,82,82,74,76,74,75
13,411033,Newcastle,Blackpool,09/11/2010 15:00:00,8,4,12,4,0-2,3,3,0,1.57,4,6,1.53,4.1,5.5,1.57,4,5.25,1.6,3.6,5,1.62,3.75,38,23.7,17,95.65,2.52,45,24.2,23,38.1,0.886,75,73,71,74,70,70,69,69
14,411034,Bolton,Birmingham,08/29/2010 13:30:00,5,4,6,4,2-2,2,2,0,2.1,3.3,3.6,2.05,3.3,3.45,2.1,3.25,3.4,2.2,3.2,3,2.1,3.4,34,25.4,18,93.4,2.75,34,25.8,18,102.9,3.03,76,76,75,75,77,77,76,76
15,411035,Man City,Blackburn,09/11/2010 15:00:00,9,4,15,3,1-1,3,3,0,1.33,5,10,1.3,5,9,1.33,4.5,9.5,1.35,4.5,7.3,1.33,5,45,23.4,27,382.53,8.5,37,25.1,29,95.1,2.57,84,81,80,82,75,75,75,75
16,411036,Blackpool,Fulham,08/28/2010 15:00:00,11,3,14,2,2-2,2,2,0,3.2,3.25,2.3,2.95,3.3,2.3,3.2,3.25,2.2,2.7,3.2,2.4,3.1,3.25,45,24.2,23,38.1,0.886,34,27.5,27,111.95,3.29,70,70,69,69,79,76,77,77
17,411037,Fulham,Wolves,09/11/2010 15:00:00,14,3,7,5,2-1,3,3,1,1.83,3.5,4.5,1.75,3.4,4.6,1.8,3.3,4.5,1.8,3.4,4,1.83,3.5,34,27.5,27,111.95,3.29,42,23.7,23,76.8,1.83,79,76,77,77,76,72,73,73
18,411038,Chelsea,Stoke,08/28/2010 15:00:00,1,6,18,0,2-0,2,2,0,1.11,9,23,1.1,8.25,20,1.12,7.5,19,1.12,7,14,1.11,8,33,24.5,22,446.15,13.52,33,27,20,96.4,2.92,85,84,83,83,76,73,75,74
19,411040,Arsenal,Bolton,09/11/2010 15:00:00,2,7,5,5,4-1,3,3,1,1.25,5.5,13,1.2,5.75,13.5,1.25,5,13,1.2,5.5,12,1.2,6,34,23.4,27,304.38,8.95,34,25.4,18,93.4,2.75,84,84,80,81,76,76,75,75
20,411042,West Ham,Chelsea,09/11/2010 15:00:00,20,0,1,9,1-3,3,3,0,10,5,1.33,9,5,1.3,9,5,1.3,7.3,4.5,1.35,9,5,39,25.1,24,158.95,4.08,33,24.5,22,446.15,13.52,74,76,74,75,85,84,83,83
21,411043,Stoke,Aston Villa,09/13/2010 20:00:00,19,0,4,6,2-1,3,3,0,2.5,3.25,2.88,2.5,3.15,2.75,2.4,3.25,2.8,2.55,3.2,2.55,2.5,3.3,33,27,20,96.4,2.92,39,25.1,20,207.75,5.33,76,73,75,74,78,80,78,78
22,411044,Everton,Man Utd,09/11/2010 12:45:00,18,1,3,7,3-3,3,3,0,4.2,3.4,1.91,4.25,3.4,1.8,4,3.5,1.85,3.8,3.4,1.85,4.33,3.5,32,23.9,21,178.53,5.58,43,24.1,29,384.15,8.93,80,79,78,78,85,82,82,82
23,411046,Man Utd,Liverpool,09/19/2010 13:30:00,3,8,13,5,3-2,4,4,0,1.7,3.5,5.5,1.65,3.6,5,1.7,3.5,5,1.75,3.4,4.3,1.73,3.5,43,24.1,29,384.15,8.93,42,23.5,25,365.5,8.7,85,82,82,82,83,81,81,80
24,411049,Aston Villa,Bolton,09/18/2010 15:00:00,7,6,12,5,1-1,4,4,0,1.8,3.6,4.5,1.8,3.3,4.5,1.8,3.3,4.5,1.8,3.4,4,1.8,3.25,39,25.1,20,207.75,5.33,34,25.4,18,93.4,2.75,78,80,78,78,76,76,75,75
25,411050,Everton,Newcastle,09/18/2010 15:00:00,19,2,14,4,0-1,4,4,0,1.62,3.75,6,1.6,3.6,5.5,1.6,3.5,6,1.7,3.5,4.4,1.67,3.5,32,23.9,21,178.53,5.58,38,23.7,17,95.65,2.52,80,79,78,78,75,73,71,74
26,411051,Blackburn,Fulham,09/18/2010 15:00:00,15,4,6,6,1-1,4,4,0,2,3.3,4,2,3.3,3.55,2,3.25,3.75,2.05,3.2,3.3,2.1,3.25,37,25.1,29,95.1,2.57,34,27.5,27,111.95,3.29,75,75,75,75,79,76,77,77
27,411052,West Brom,Birmingham,09/18/2010 15:00:00,16,4,5,6,3-1,4,4,0,2.25,3.3,3.25,2.2,3.2,3.15,2.3,3.25,3,2.4,3.1,2.8,2.38,3,37,24.3,24,85.03,2.3,34,25.8,18,102.9,3.03,74,68,70,73,77,77,76,76
28,411053,Stoke,West Ham,09/18/2010 12:45:00,18,3,20,0,1-1,4,4,0,1.91,3.4,4.2,1.95,3.35,3.7,1.95,3.4,3.75,2,3.3,3.3,2,3.4,33,27,20,96.4,2.92,39,25.1,24,158.95,4.08,76,73,75,74,74,76,74,75
29,411057,Liverpool,Sunderland,09/25/2010 15:00:00,16,5,11,6,2-2,5,5,0,1.44,4.33,7.5,1.45,4,7,1.45,4.25,6.5,1.45,3.9,6.5,1.5,4,42,23.5,25,365.5,8.7,39,23.7,20,137.33,3.52,83,81,81,80,77,74,75,75
30,411059,Newcastle,Stoke,09/26/2010 16:10:00,6,7,17,4,1-2,5,5,0,1.91,3.4,4.2,1.9,3.3,3.95,1.9,3.3,4,2,3.3,3.3,1.91,3.4,38,23.7,17,95.65,2.52,33,27,20,96.4,2.92,75,73,71,74,76,73,75,74
