,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,1225138,Atalanta,Roma,08/20/2017 17:00:00,,,,,0-1,0,0,3.2,3.3,2.3,3.2,3.4,2.25,3.1,3.3,2.2,3.0,3.3,2.25,3.17,3.56,2.36,37,22.6,18,126.33,3.41,47,22.7,26,328.28,6.98,78,75,78,76,80,82,81,81
1,1225139,Bologna,Torino,08/20/2017 19:45:00,,,,,1-1,0,0,3.1,3.3,2.38,3.2,3.3,2.3,2.75,3.3,2.4,3.1,3.2,2.3,3.29,3.42,2.36,41,24.4,22,82.63,2.02,51,22.8,24,146.0,2.86,77,75,74,76,79,77,77,77
2,1225140,Crotone,AC Milan,08/20/2017 19:45:00,,,,,0-3,0,0,6.0,4.0,1.57,5.5,4.1,1.6,5.6,3.9,1.55,5.5,4.0,1.6,6.04,4.2,1.62,40,23.1,19,37.0,0.925,42,23.5,17,352.58,8.39,70,71,71,70,80,79,79,79
3,1225141,Verona,Napoli,08/19/2017 19:45:00,,,,,1-3,0,0,8.0,4.75,1.4,8.0,4.6,1.42,7.3,4.1,1.43,7.5,4.6,1.4,8.46,5.08,1.42,41,24.5,18,46.3,1.13,40,24.2,24,372.63,9.32,72,72,71,72,84,82,80,81
4,1225142,Inter,Fiorentina,08/20/2017 19:45:00,,,,,3-0,0,0,1.57,4.0,6.0,1.57,4.2,5.75,1.6,3.7,5.4,1.53,4.0,5.8,1.57,4.42,6.33,34,24.9,22,347.43,10.22,41,23.0,26,168.1,4.1,83,80,79,80,76,78,77,77
5,1225143,Juventus,Cagliari,08/19/2017 17:00:00,,,,,3-0,0,0,1.14,8.0,19.0,1.16,7.5,17.0,1.15,7.0,15.0,1.14,7.5,26.0,1.16,8.29,24.44,33,25.6,17,540.53,16.38,41,24.4,14,73.33,1.79,87,84,84,85,75,72,72,73
6,1225144,Lazio,SPAL,08/20/2017 19:45:00,,,,,0-0,0,0,1.29,5.5,11.0,1.26,5.75,12.0,1.3,5.0,9.0,1.3,5.2,11.0,1.31,5.72,12.15,44,23.8,29,220.75,5.02,42,24.4,13,50.4,1.2,82,80,79,80,75,73,72,73
7,1225145,Sampdoria,Benevento,08/20/2017 19:45:00,,,,,2-1,0,0,1.67,3.75,5.5,1.67,3.7,5.5,1.65,3.6,5.1,1.67,3.7,5.25,1.69,3.96,5.63,39,23.6,25,113.85,2.92,48,24.1,21,61.8,1.29,77,76,74,75,71,72,70,72
8,1225146,Sassuolo,Genoa,08/20/2017 19:45:00,,,,,0-0,0,0,2.2,3.25,3.5,2.2,3.3,3.4,2.3,3.3,2.9,2.1,3.3,3.4,2.18,3.49,3.63,39,24.0,7,122.13,3.13,44,25.1,24,113.48,2.58,76,72,76,75,76,75,75,76
9,1225147,Udinese,Chievo,08/20/2017 19:45:00,,,,,1-3,0,0,2.1,3.2,3.8,2.1,3.25,3.75,2.2,3.3,3.1,2.05,3.2,3.8,2.11,3.44,3.91,46,23.0,35,87.18,1.9,36,26.4,16,50.78,1.41,75,74,74,74,76,76,73,75
10,1225148,Benevento,Bologna,08/26/2017 17:00:00,14.0,0.0,8.0,1.0,0-1,1,1,2.7,3.2,2.75,2.7,3.1,2.8,2.6,3.2,2.6,2.62,3.0,2.65,2.83,3.26,2.78,48,24.1,21,61.8,1.29,41,24.4,22,82.63,2.02,71,72,70,72,77,75,74,76
11,1225149,Chievo,Lazio,08/27/2017 19:45:00,7.0,3.0,13.0,1.0,1-2,1,1,3.5,3.2,2.2,3.6,3.3,2.15,2.9,3.3,2.3,3.3,3.2,2.1,3.65,3.4,2.21,36,26.4,16,50.78,1.41,44,23.8,29,220.75,5.02,76,76,73,75,82,80,79,80
12,1225150,Crotone,Verona,08/27/2017 19:45:00,18.0,0.0,16.0,0.0,0-0,1,1,2.5,3.2,2.88,2.45,3.2,3.0,2.3,3.2,3.0,2.37,3.0,3.0,2.55,3.22,3.15,40,23.1,19,37.0,0.925,41,24.5,18,46.3,1.13,70,71,71,70,72,72,71,72
