,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR
0,1115434,Napoli,Inter,12/02/2016 19:45:00,7.0,25.0,8.0,21.0,3-0,14,14,1.75,3.75,4.75,1.83,3.8,4.5,1.9,3.45,3.8,1.8,3.6,4.2,1.85,3.91,4.45,37,24.7,22,303.9,8.21,41,24.4,29,318.85,7.78,82,81,79,81,82,81,79,81
1,1115431,Juventus,Atalanta,12/03/2016 19:45:00,1.0,33.0,5.0,28.0,3-1,14,14,1.4,4.5,9.0,1.42,4.6,7.75,1.4,4.4,7.3,1.36,4.5,9.0,1.41,4.79,9.58,38,25.2,19,422.0,11.11,44,24.5,17,80.23,1.82,89,84,85,85,76,74,75,75
2,1115432,Lazio,Roma,12/04/2016 14:00:00,4.0,28.0,3.0,29.0,0-2,14,14,2.9,3.4,2.4,2.95,3.4,2.5,2.75,3.2,2.5,2.8,3.3,2.4,3.09,3.39,2.49,45,22.8,32,171.25,3.81,47,22.7,25,285.43,6.07,81,79,78,79,82,81,81,81
3,1115435,Pescara,Cagliari,12/04/2016 14:00:00,18.0,7.0,12.0,19.0,1-1,14,14,2.38,3.4,3.0,2.45,3.25,3.0,2.6,3.2,2.6,2.3,3.4,2.9,2.44,3.57,3.03,50,23.8,19,44.45,0.889,46,23.7,17,63.23,1.37,72,70,72,72,74,73,73,74
4,1115436,Sampdoria,Torino,12/04/2016 14:00:00,11.0,19.0,7.0,25.0,2-0,13,14,2.75,3.25,2.63,2.7,3.3,2.65,2.65,3.1,2.65,2.62,3.3,2.62,2.7,3.4,2.81,41,23.6,28,87.55,2.14,49,23.2,22,133.4,2.72,77,75,73,75,78,78,75,77
5,1115437,Sassuolo,Empoli,12/04/2016 14:00:00,16.0,14.0,17.0,10.0,3-0,14,14,1.83,3.4,4.75,1.85,3.4,4.75,2.0,3.3,3.6,1.8,3.4,4.5,1.85,3.59,4.93,47,23.6,7,92.9,1.98,42,23.5,17,58.33,1.39,76,76,76,76,72,73,73,73
6,1115430,Fiorentina,Palermo,12/04/2016 19:45:00,9.0,20.0,20.0,6.0,2-1,13,14,1.29,5.5,11.0,1.28,5.75,10.5,1.3,5.0,9.0,1.3,5.25,10.0,1.3,5.99,11.58,42,23.3,30,192.23,4.58,39,23.4,23,42.78,1.1,81,77,78,78,73,72,73,72
7,1115429,Chievo,Genoa,12/05/2016 18:00:00,13.0,18.0,10.0,19.0,0-0,14,13,2.5,3.1,3.1,2.55,3.1,2.95,2.4,3.3,2.75,2.5,3.0,3.0,2.61,3.12,3.17,44,25.3,20,45.9,1.04,44,24.8,23,107.63,2.45,75,77,75,76,74,75,75,75
8,1115438,Udinese,Bologna,12/05/2016 20:00:00,15.0,15.0,14.0,16.0,1-0,14,14,2.0,3.2,4.2,2.05,3.2,4.0,2.1,3.3,3.3,2.0,3.25,4.0,2.06,3.39,4.18,44,23.5,34,105.33,2.39,47,23.6,21,86.78,1.85,75,75,76,76,76,74,74,75
9,1115452,Crotone,Pescara,12/10/2016 17:00:00,19.0,6.0,18.0,8.0,2-1,15,15,2.63,3.25,2.8,2.55,3.3,2.8,2.3,3.3,2.9,2.5,3.2,2.8,2.69,3.33,2.87,37,24.0,12,24.9,0.673,50,23.8,19,44.45,0.889,70,71,70,70,72,70,72,72
